Sno,Date,Time,State/UnionTerritory,Deaths,Confirmed
1,01/30/2020,06:00:00 PM,Kerala,0,1
2,01/31/2020,06:00:00 PM,Kerala,0,1
3,02/01/2020,06:00:00 PM,Kerala,0,2
4,02/02/2020,06:00:00 PM,Kerala,0,3
5,02/03/2020,06:00:00 PM,Kerala,0,3
6,02/04/2020,06:00:00 PM,Kerala,0,3
7,02/05/2020,06:00:00 PM,Kerala,0,3
8,02/06/2020,06:00:00 PM,Kerala,0,3
9,02/07/2020,06:00:00 PM,Kerala,0,3
10,02/08/2020,06:00:00 PM,Kerala,0,3
11,02/09/2020,06:00:00 PM,Kerala,0,3
12,02/10/2020,06:00:00 PM,Kerala,0,3
13,02/11/2020,06:00:00 PM,Kerala,0,3
14,02/12/2020,06:00:00 PM,Kerala,0,3
15,02/13/2020,06:00:00 PM,Kerala,0,3
16,02/14/2020,06:00:00 PM,Kerala,0,3
17,02/15/2020,06:00:00 PM,Kerala,0,3
18,02/16/2020,06:00:00 PM,Kerala,0,3
19,02/17/2020,06:00:00 PM,Kerala,0,3
20,02/18/2020,06:00:00 PM,Kerala,0,3
21,02/19/2020,06:00:00 PM,Kerala,0,3
22,02/20/2020,06:00:00 PM,Kerala,0,3
23,02/21/2020,06:00:00 PM,Kerala,0,3
24,02/22/2020,06:00:00 PM,Kerala,0,3
25,02/23/2020,06:00:00 PM,Kerala,0,3
26,02/24/2020,06:00:00 PM,Kerala,0,3
27,02/25/2020,06:00:00 PM,Kerala,0,3
28,02/26/2020,06:00:00 PM,Kerala,0,3
29,02/27/2020,06:00:00 PM,Kerala,0,3
30,02/28/2020,06:00:00 PM,Kerala,0,3
31,02/29/2020,06:00:00 PM,Kerala,0,3
32,03/01/2020,06:00:00 PM,Kerala,0,3
33,03/02/2020,06:00:00 PM,Telengana,0,1
34,03/02/2020,06:00:00 PM,Kerala,0,3
35,03/02/2020,06:00:00 PM,Delhi,0,1
36,03/03/2020,06:00:00 PM,Telengana,0,1
37,03/03/2020,06:00:00 PM,Rajasthan,0,1
38,03/03/2020,06:00:00 PM,Kerala,0,3
39,03/03/2020,06:00:00 PM,Delhi,0,1
40,03/04/2020,06:00:00 PM,Uttar Pradesh,0,6
41,03/04/2020,06:00:00 PM,Kerala,0,3
42,03/04/2020,06:00:00 PM,Haryana,0,2
43,03/04/2020,06:00:00 PM,Delhi,0,1
44,03/04/2020,06:00:00 PM,Telengana,0,1
45,03/04/2020,06:00:00 PM,Rajasthan,0,15
46,03/05/2020,06:00:00 PM,Delhi,0,2
47,03/05/2020,06:00:00 PM,Haryana,0,2
48,03/05/2020,06:00:00 PM,Kerala,0,3
49,03/05/2020,06:00:00 PM,Rajasthan,0,15
50,03/05/2020,06:00:00 PM,Telengana,0,1
51,03/05/2020,06:00:00 PM,Uttar Pradesh,0,7
52,03/06/2020,06:00:00 PM,Delhi,0,3
53,03/06/2020,06:00:00 PM,Haryana,0,2
54,03/06/2020,06:00:00 PM,Kerala,0,3
55,03/06/2020,06:00:00 PM,Rajasthan,0,15
56,03/06/2020,06:00:00 PM,Uttar Pradesh,0,7
57,03/06/2020,06:00:00 PM,Telengana,0,1
58,03/07/2020,06:00:00 PM,Kerala,0,3
59,03/07/2020,06:00:00 PM,Uttar Pradesh,0,7
60,03/07/2020,06:00:00 PM,Ladakh,0,2
61,03/07/2020,06:00:00 PM,Telengana,0,1
62,03/07/2020,06:00:00 PM,Tamil Nadu,0,1
63,03/07/2020,06:00:00 PM,Delhi,0,3
64,03/07/2020,06:00:00 PM,Haryana,0,2
65,03/07/2020,06:00:00 PM,Rajasthan,0,15
66,03/08/2020,06:00:00 PM,Ladakh,0,2
67,03/08/2020,06:00:00 PM,Telengana,0,1
68,03/08/2020,06:00:00 PM,Tamil Nadu,0,1
69,03/08/2020,06:00:00 PM,Rajasthan,0,15
70,03/08/2020,06:00:00 PM,Kerala,0,8
71,03/08/2020,06:00:00 PM,Haryana,0,2
72,03/08/2020,06:00:00 PM,Delhi,0,3
73,03/08/2020,06:00:00 PM,Uttar Pradesh,0,7
74,03/09/2020,06:00:00 PM,Ladakh,0,2
75,03/09/2020,06:00:00 PM,Karnataka,0,1
76,03/09/2020,06:00:00 PM,Kerala,0,9
77,03/09/2020,06:00:00 PM,Maharashtra,0,2
78,03/09/2020,06:00:00 PM,Punjab,0,1
79,03/09/2020,06:00:00 PM,Rajasthan,0,15
80,03/09/2020,06:00:00 PM,Tamil Nadu,0,1
81,03/09/2020,06:00:00 PM,Telengana,0,1
82,03/09/2020,06:00:00 PM,Jammu and Kashmir,0,1
83,03/09/2020,06:00:00 PM,Uttar Pradesh,0,7
84,03/09/2020,06:00:00 PM,Haryana,0,2
85,03/09/2020,06:00:00 PM,Delhi,0,4
86,03/10/2020,06:00:00 PM,Uttar Pradesh,0,7
87,03/10/2020,06:00:00 PM,Ladakh,0,2
88,03/10/2020,06:00:00 PM,Delhi,0,4
89,03/10/2020,06:00:00 PM,Haryana,0,2
90,03/10/2020,06:00:00 PM,Karnataka,0,4
91,03/10/2020,06:00:00 PM,Kerala,0,15
92,03/10/2020,06:00:00 PM,Maharashtra,0,5
93,03/10/2020,06:00:00 PM,Punjab,0,1
94,03/10/2020,06:00:00 PM,Rajasthan,0,15
95,03/10/2020,06:00:00 PM,Tamil Nadu,0,1
96,03/10/2020,06:00:00 PM,Telengana,0,1
97,03/10/2020,06:00:00 PM,Jammu and Kashmir,0,1
98,03/11/2020,06:00:00 PM,Maharashtra,0,2
99,03/11/2020,06:00:00 PM,Delhi,0,5
100,03/11/2020,06:00:00 PM,Haryana,0,14
101,03/11/2020,06:00:00 PM,Kerala,0,17
102,03/11/2020,06:00:00 PM,Rajasthan,0,3
103,03/11/2020,06:00:00 PM,Telengana,0,1
104,03/11/2020,06:00:00 PM,Uttar Pradesh,0,9
105,03/11/2020,06:00:00 PM,Ladakh,0,2
106,03/11/2020,06:00:00 PM,Tamil Nadu,0,1
107,03/11/2020,06:00:00 PM,Jammu and Kashmir,0,1
108,03/11/2020,06:00:00 PM,Punjab,0,1
109,03/11/2020,06:00:00 PM,Karnataka,0,4
110,03/12/2020,06:00:00 PM,Delhi,0,6
111,03/12/2020,06:00:00 PM,Haryana,0,14
112,03/12/2020,06:00:00 PM,Kerala,0,17
113,03/12/2020,06:00:00 PM,Rajasthan,0,3
114,03/12/2020,06:00:00 PM,Telengana,0,1
115,03/12/2020,06:00:00 PM,Uttar Pradesh,0,11
116,03/12/2020,06:00:00 PM,Ladakh,0,3
117,03/12/2020,06:00:00 PM,Tamil Nadu,0,1
118,03/12/2020,06:00:00 PM,Jammu and Kashmir,0,1
119,03/12/2020,06:00:00 PM,Punjab,0,1
120,03/12/2020,06:00:00 PM,Karnataka,0,4
121,03/12/2020,06:00:00 PM,Maharashtra,0,11
122,03/12/2020,06:00:00 PM,Andhra Pradesh,0,1
123,03/13/2020,06:00:00 PM,Delhi,0,6
124,03/13/2020,06:00:00 PM,Haryana,0,14
125,03/13/2020,06:00:00 PM,Kerala,0,19
126,03/13/2020,06:00:00 PM,Rajasthan,0,3
127,03/13/2020,06:00:00 PM,Telengana,0,1
128,03/13/2020,06:00:00 PM,Uttar Pradesh,0,11
129,03/13/2020,06:00:00 PM,Ladakh,0,3
130,03/13/2020,06:00:00 PM,Tamil Nadu,0,1
131,03/13/2020,06:00:00 PM,Jammu and Kashmir,0,1
132,03/13/2020,06:00:00 PM,Punjab,0,1
133,03/13/2020,06:00:00 PM,Karnataka,1,6
134,03/13/2020,06:00:00 PM,Maharashtra,0,14
135,03/13/2020,06:00:00 PM,Andhra Pradesh,0,1
136,03/14/2020,06:00:00 PM,Delhi,1,7
137,03/14/2020,06:00:00 PM,Haryana,0,14
138,03/14/2020,06:00:00 PM,Kerala,0,19
139,03/14/2020,06:00:00 PM,Rajasthan,0,3
140,03/14/2020,06:00:00 PM,Telengana,0,1
141,03/14/2020,06:00:00 PM,Uttar Pradesh,0,12
142,03/14/2020,06:00:00 PM,Ladakh,0,3
143,03/14/2020,06:00:00 PM,Tamil Nadu,0,1
144,03/14/2020,06:00:00 PM,Jammu and Kashmir,0,2
145,03/14/2020,06:00:00 PM,Punjab,0,1
146,03/14/2020,06:00:00 PM,Karnataka,1,6
147,03/14/2020,06:00:00 PM,Maharashtra,0,14
148,03/14/2020,06:00:00 PM,Andhra Pradesh,0,1
149,03/15/2020,06:00:00 PM,Andhra Pradesh,0,1
150,03/15/2020,06:00:00 PM,Delhi,1,7
151,03/15/2020,06:00:00 PM,Haryana,0,14
152,03/15/2020,06:00:00 PM,Karnataka,1,6
153,03/15/2020,06:00:00 PM,Kerala,0,22
154,03/15/2020,06:00:00 PM,Maharashtra,0,32
155,03/15/2020,06:00:00 PM,Punjab,0,1
156,03/15/2020,06:00:00 PM,Rajasthan,0,4
157,03/15/2020,06:00:00 PM,Tamil Nadu,0,1
158,03/15/2020,06:00:00 PM,Telengana,0,3
159,03/15/2020,06:00:00 PM,Jammu and Kashmir,0,2
160,03/15/2020,06:00:00 PM,Ladakh,0,3
161,03/15/2020,06:00:00 PM,Uttar Pradesh,0,13
162,03/15/2020,06:00:00 PM,Uttarakhand,0,1
163,03/16/2020,06:00:00 PM,Andhra Pradesh,0,1
164,03/16/2020,06:00:00 PM,Delhi,1,7
165,03/16/2020,06:00:00 PM,Haryana,0,14
166,03/16/2020,06:00:00 PM,Karnataka,1,6
167,03/16/2020,06:00:00 PM,Kerala,0,23
168,03/16/2020,06:00:00 PM,Maharashtra,0,32
169,03/16/2020,06:00:00 PM,Odisha,0,1
170,03/16/2020,06:00:00 PM,Punjab,0,1
171,03/16/2020,06:00:00 PM,Rajasthan,0,4
172,03/16/2020,06:00:00 PM,Tamil Nadu,0,1
173,03/16/2020,06:00:00 PM,Telengana,0,3
174,03/16/2020,06:00:00 PM,Jammu and Kashmir,0,3
175,03/16/2020,06:00:00 PM,Ladakh,0,4
176,03/16/2020,06:00:00 PM,Uttar Pradesh,0,13
177,03/16/2020,06:00:00 PM,Uttarakhand,0,1
178,03/17/2020,06:00:00 PM,Andhra Pradesh,0,1
179,03/17/2020,06:00:00 PM,Delhi,1,8
180,03/17/2020,06:00:00 PM,Haryana,0,15
181,03/17/2020,06:00:00 PM,Karnataka,1,11
182,03/17/2020,06:00:00 PM,Kerala,0,26
183,03/17/2020,06:00:00 PM,Maharashtra,1,39
184,03/17/2020,06:00:00 PM,Odisha,0,1
185,03/17/2020,06:00:00 PM,Punjab,0,1
186,03/17/2020,06:00:00 PM,Rajasthan,0,4
187,03/17/2020,06:00:00 PM,Tamil Nadu,0,1
188,03/17/2020,06:00:00 PM,Telengana,0,5
189,03/17/2020,06:00:00 PM,Jammu and Kashmir,0,3
